key_id,tournament_id,tournament_name,world_cup_year,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,home_team_score,away_team_score,goal_difference,total_goals,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result,result_name,result_label,home_team_win,away_team_win,draw,home_historical_matches,home_historical_wins,home_historical_draws,home_historical_losses,home_historical_goals_for,home_historical_goals_against,home_historical_goal_diff,home_historical_points,home_world_cups_played_before,home_win_rate_before,home_draw_rate_before,home_loss_rate_before,home_avg_goals_for_before,home_avg_goals_against_before,home_points_per_match_before,home_last5_avg_goals_for,home_last5_avg_goals_against,home_last5_win_rate,away_historical_matches,away_historical_wins,away_historical_draws,away_historical_losses,away_historical_goals_for,away_historical_goals_against,away_historical_goal_diff,away_historical_points,away_world_cups_played_before,away_win_rate_before,away_draw_rate_before,away_loss_rate_before,away_avg_goals_for_before,away_avg_goals_against_before,away_points_per_match_before,away_last5_avg_goals_for,away_last5_avg_goals_against,away_last5_win_rate,home_vs_away_h2h_matches_before,home_h2h_wins_before,away_h2h_wins_before,h2h_draws_before
1,WC-1930,1930 FIFA World Cup,1930,M-1930-01,France v Mexico,group stage,Group 1,1,0,0,0,1930-07-13,15:00,S-193,Estadio Pocitos,Montevideo,Uruguay,T-28,France,FRA,T-44,Mexico,MEX,4,1,3,5,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,WC-1930,1930 FIFA World Cup,1930,M-1930-02,United States v Belgium,group stage,Group 4,1,0,0,0,1930-07-13,15:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,United States,USA,T-06,Belgium,BEL,3,0,3,3,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,WC-1930,1930 FIFA World Cup,1930,M-1930-03,Yugoslavia v Brazil,group stage,Group 2,1,0,0,0,1930-07-14,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-09,Brazil,BRA,2,1,1,3,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4,WC-1930,1930 FIFA World Cup,1930,M-1930-04,Romania v Peru,group stage,Group 3,1,0,0,0,1930-07-14,14:50,S-193,Estadio Pocitos,Montevideo,Uruguay,T-59,Romania,ROU,T-54,Peru,PER,3,1,2,4,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,WC-1930,1930 FIFA World Cup,1930,M-1930-05,Argentina v France,group stage,Group 1,1,0,0,0,1930-07-15,16:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,Argentina,ARG,T-28,France,FRA,1,0,1,1,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,4,1,3,3,1,1.0,0.0,0.0,4.0,1.0,3.0,4.0,1.0,1.0,0,0,0,0
6,WC-1930,1930 FIFA World Cup,1930,M-1930-06,Chile v Mexico,group stage,Group 1,1,0,0,0,1930-07-16,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,Chile,CHL,T-44,Mexico,MEX,3,0,3,3,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,4,-3,0,1,0.0,0.0,1.0,1.0,4.0,0.0,1.0,4.0,0.0,0,0,0,0
7,WC-1930,1930 FIFA World Cup,1930,M-1930-07,Yugoslavia v Bolivia,group stage,Group 2,1,0,0,0,1930-07-17,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-07,Bolivia,BOL,4,0,4,4,0,0,0,0,home team win,home_win,2,1,0,0,1,1,0,0,2,1,1,3,1,1.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
8,WC-1930,1930 FIFA World Cup,1930,M-1930-08,United States v Paraguay,group stage,Group 4,1,0,0,0,1930-07-17,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,United States,USA,T-53,Paraguay,PRY,3,0,3,3,0,0,0,0,home team win,home_win,2,1,0,0,1,1,0,0,3,0,3,3,1,1.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9,WC-1930,1930 FIFA World Cup,1930,M-1930-09,Uruguay v Peru,group stage,Group 3,1,0,0,0,1930-07-18,14:30,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-54,Peru,PER,1,0,1,1,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,3,-2,0,1,0.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,0,0,0,0
10,WC-1930,1930 FIFA World Cup,1930,M-1930-10,Chile v France,group stage,Group 1,1,0,0,0,1930-07-19,12:50,S-191,Estadio Centenario,Montevideo,Uruguay,T-13,Chile,CHL,T-28,France,FRA,1,0,1,1,0,0,0,0,home team win,home_win,2,1,0,0,1,1,0,0,3,0,3,3,1,1.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,2,1,0,1,4,2,2,3,1,0.5,0.0,0.5,2.0,1.0,1.5,2.0,1.0,0.5,0,0,0,0
